[18:52:25] [INFO] received Windows console close event; shutting log-core down
[19:13:41] [INFO] received Windows console close event; shutting log-core down
[19:36:18] [INFO] received Windows console close event; shutting log-core down
[19:52:49] [INFO] received Windows console close event; shutting log-core down
[19:57:14] [INFO] received Windows console close event; shutting log-core down
[19:58:44] [INFO] received Windows console close event; shutting log-core down
[19:59:43] [INFO] received Windows console close event; shutting log-core down
[20:02:47] [INFO] received Windows console close event; shutting log-core down
[20:03:03] [INFO] received Windows console close event; shutting log-core down
[20:04:16] [INFO] received Windows console close event; shutting log-core down
[22:16:08] [INFO] received Windows console close event; shutting log-core down
[23:26:16] [INFO] received Windows console close event; shutting log-core down
[23:43:44] [INFO] received Windows console close event; shutting log-core down
[19:27:49] [INFO] received Windows console close event; shutting log-core down
[19:34:27] [INFO] received Windows console close event; shutting log-core down
[17:52:52] [INFO] received Windows console close event; shutting log-core down
[17:58:35] [INFO] received Windows console close event; shutting log-core down
[18:01:37] [INFO] received Windows console close event; shutting log-core down
[18:29:59] [INFO] received Windows console close event; shutting log-core down
[22:00:17] [INFO] received Windows console close event; shutting log-core down
[22:13:17] [INFO] received Windows console close event; shutting log-core down
[22:19:04] [INFO] received Windows console close event; shutting log-core down
[22:19:06] [INFO] received Windows console close event; shutting log-core down
[00:20:28] [INFO] received Windows console close event; shutting log-core down
[00:21:10] [INFO] received Windows console close event; shutting log-core down
[14:35:15] [INFO] received Windows console close event; shutting log-core down
[14:53:05] [INFO] received Windows console close event; shutting log-core down
[16:42:02] [INFO] received Windows console close event; shutting log-core down
[16:43:38] [INFO] received Windows console close event; shutting log-core down
[17:53:37] [INFO] received Windows console close event; shutting log-core down
[22:12:50] [INFO] received Windows console close event; shutting log-core down
[22:48:51] [INFO] received Windows console close event; shutting log-core down
[23:00:45] [INFO] received Windows console close event; shutting log-core down
[23:14:05] [INFO] received Windows console close event; shutting log-core down
[23:22:20] [INFO] received Windows console close event; shutting log-core down
[00:54:22] [INFO] received Windows console close event; shutting log-core down
[01:29:28] [INFO] received Windows console close event; shutting log-core down
[01:39:53] [INFO] received Windows console close event; shutting log-core down
[01:45:57] [INFO] received Windows console close event; shutting log-core down
[02:01:53] [INFO] received Windows console close event; shutting log-core down
[02:14:12] [INFO] received Windows console close event; shutting log-core down
[02:15:14] [INFO] received Windows console close event; shutting log-core down
[02:18:32] [INFO] received Windows console close event; shutting log-core down
[02:20:45] [INFO] received Windows console close event; shutting log-core down
[21:02:02] [INFO] received Windows console close event; shutting log-core down
[23:23:15] [INFO] received Windows console close event; shutting log-core down
[00:08:05] [INFO] received Windows console close event; shutting log-core down
[17:21:54] [INFO] received Windows console close event; shutting log-core down
[16:31:15] [INFO] received Windows console close event; shutting log-core down
[14:09:11] [INFO] received Windows console close event; shutting log-core down
[16:58:56] [INFO] received Windows console close event; shutting log-core down
[17:03:38] [INFO] received Windows console close event; shutting log-core down
[17:04:28] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[17:24:50] [INFO] received Windows console close event; shutting log-core down
[23:05:35] [INFO] received Windows console close event; shutting log-core down
[13:13:51] [INFO] received Windows console close event; shutting log-core down
[21:44:44] [INFO] received Windows console close event; shutting log-core down
[13:15:02] [INFO] received Windows console close event; shutting log-core down
[13:18:32] [INFO] received Windows console close event; shutting log-core down
[13:19:48] [INFO] received Windows console close event; shutting log-core down
[14:04:46] [INFO] received Windows console close event; shutting log-core down
[14:27:44] [INFO] received Windows console close event; shutting log-core down
[14:40:50] [INFO] received Windows console close event; shutting log-core down
[14:43:24] [INFO] received Windows console close event; shutting log-core down
[14:44:21] [INFO] received Windows console close event; shutting log-core down
[14:45:52] [INFO] received Windows console close event; shutting log-core down
[14:47:25] [INFO] received Windows console close event; shutting log-core down
[14:49:17] [INFO] received Windows console close event; shutting log-core down
[14:49:51] [INFO] received Windows console close event; shutting log-core down
[14:51:43] [INFO] received Windows console close event; shutting log-core down
[14:56:17] [INFO] received Windows console close event; shutting log-core down
[14:58:50] [INFO] received Windows console close event; shutting log-core down
[15:07:44] [INFO] received Windows console close event; shutting log-core down
[15:10:29] [INFO] received Windows console close event; shutting log-core down
[19:23:31] [INFO] received Windows console close event; shutting log-core down
[00:57:36] [INFO] received Windows console close event; shutting log-core down
[01:13:41] [INFO] received Windows console close event; shutting log-core down
[20:37:53] [INFO] received Windows console close event; shutting log-core down
[01:32:32] [INFO] received Windows console close event; shutting log-core down
